"행정구역","2022년05월_계_총인구수","2022년05월_계_연령구간인구수","2022년05월_계_0~9세","2022년05월_계_10~19세","2022년05월_계_20~29세","2022년05월_계_30~39세","2022년05월_계_40~49세","2022년05월_계_50~59세","2022년05월_계_60~69세","2022년05월_계_70~79세","2022년05월_계_80~89세","2022년05월_계_90~99세","2022년05월_계_100세 이상"
"대구광역시  (2700000000)","2,376,676","2,376,676","163,585","217,674","303,920","282,025","368,705","418,324","344,610","181,408","85,638","10,519","268"
"대구광역시 중구 (2711000000)","78,703","78,703","5,511","5,350","11,861","11,533","11,251","11,595","10,406","7,108","3,553","511","24"
"대구광역시 동구 (2714000000)","341,070","341,070","23,301","26,226","39,865","42,934","50,785","56,461","53,739","31,374","14,668","1,678","39"
"대구광역시 서구 (2717000000)","161,790","161,790","6,398","9,818","19,109","16,353","20,777","31,478","31,798","17,540","7,694","805","20"
"대구광역시 남구 (2720000000)","141,520","141,520","6,071","8,859","19,466","16,365","18,909","23,838","24,130","15,043","7,823","995","21"
"대구광역시 북구 (2723000000)","435,869","435,869","30,844","41,698","61,052","51,858","69,050","78,333","58,308","29,445","13,668","1,572","41"
"대구광역시 수성구 (2726000000)","415,306","415,306","28,082","48,612","51,479","41,636","69,144","74,873","54,627","29,681","15,050","2,059","63"
"대구광역시 달서구 (2729000000)","539,528","539,528","35,384","52,236","73,247","61,541","83,609","100,629","78,493","36,112","16,235","1,998","44"
"대구광역시 달성군 (2771000000)","262,890","262,890","27,994","24,875","27,841","39,805","45,180","41,117","33,109","15,105","6,947","901","16"
"인천광역시  (2800000000)","2,955,167","2,955,167","213,152","270,717","385,619","401,964","481,428","511,681","406,819","184,293","85,824","13,244","426"
"인천광역시 중구 (2811000000)","147,093","147,093","11,699","13,480","18,926","22,485","25,949","22,074","17,833","9,654","4,278","690","25"
"인천광역시 중구영종출장소 (2811400000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 중구용유출장소 (2811800000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 동구 (2814000000)","59,322","59,322","3,235","4,708","6,077","6,433","9,350","9,627","10,053","6,388","2,986","452","13"
"인천광역시 미추홀구 (2817700000)","407,253","407,253","25,271","31,406","56,103","55,480","63,339","67,606","59,605","31,825","14,500","2,056","62"
"인천광역시 연수구 (2818500000)","387,789","387,789","35,966","43,327","49,514","55,255","68,756","65,056","44,228","16,337","7,887","1,412","51"
"인천광역시 남동구 (2820000000)","513,965","513,965","36,391","48,116","67,266","67,225","86,017","88,708","71,740","32,283","13,998","2,158","63"
"인천광역시 부평구 (2823700000)","486,216","486,216","29,586","40,773","66,208","66,439","74,225","87,661","71,450","32,456","15,131","2,204","83"
"인천광역시 계양구 (2824500000)","293,506","293,506","16,604","24,884","41,332","37,921","43,820","58,592","44,623","16,341","8,137","1,228","24"
"인천광역시 서구 (2826000000)","569,494","569,494","50,400","58,402","72,623","83,676","100,018","97,252","67,151","26,430","11,619","1,849","74"
"인천광역시 서구검단출장소 (2826500000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 강화군 (2871000000)","69,940","69,940","3,126","4,528","5,005","5,198","7,648","11,622","15,652","10,133","6,086","926","16"
"인천광역시 옹진군 (2872000000)","20,589","20,589","874","1,093","2,565","1,852","2,306","3,483","4,484","2,446","1,202","269","15"
"광주광역시  (2900000000)","1,436,012","1,436,012","110,875","151,063","203,113","178,812","235,729","237,165","173,069","95,464","44,386","6,152","184"
"광주광역시 동구 (2911000000)","102,936","102,936","7,225","7,205","14,606","13,277","14,136","15,389","15,018","10,165","5,190","702","23"
"광주광역시 서구 (2914000000)","288,703","288,703","19,367","29,305","43,631","34,413","46,417","49,656","35,963","19,686","8,989","1,236","40"
"광주광역시 남구 (2915500000)","215,251","215,251","16,627","22,647","27,099","25,007","34,498","33,087","29,065","17,849","8,195","1,142","35"
"광주광역시 북구 (2917000000)","426,329","426,329","31,440","41,043","60,074","54,255","65,833","71,594","56,246","30,405","13,529","1,857","53"
"광주광역시 광산구 (2920000000)","402,793","402,793","36,216","50,863","57,703","51,860","74,845","67,439","36,777","17,359","8,483","1,215","33"
"대전광역시  (3000000000)","1,448,933","1,448,933","105,212","140,734","207,048","188,394","229,486","239,729","192,967","93,935","44,914","6,337","177"
"대전광역시 동구 (3011000000)","220,920","220,920","13,759","19,374","29,583","24,867","33,080","36,071","34,419","19,307","9,229","1,194","37"
"대전광역시 중구 (3014000000)","229,089","229,089","13,434","20,587","29,664","24,878","34,703","38,689","34,828","20,680","10,242","1,344","40"
"대전광역시 서구 (3017000000)","471,247","471,247","35,122","47,517","71,793","64,147","75,725","76,457","59,093","27,072","12,472","1,802","47"
"대전광역시 유성구 (3020000000)","352,826","352,826","32,639","37,754","52,252","54,525","60,160","55,272","37,703","14,315","6,990","1,187","29"
"대전광역시 대덕구 (3023000000)","174,851","174,851","10,258","15,502","23,756","19,977","25,818","33,240","26,924","12,561","5,981","810","24"
"울산광역시  (3100000000)","1,116,482","1,116,482","88,907","109,530","134,433","142,245","183,080","206,317","158,433","65,071","25,064","3,337","65"
"울산광역시 중구 (3111000000)","210,786","210,786","14,601","19,283","24,357","24,479","32,738","39,777","33,857","15,307","5,694","678","15"
"울산광역시 남구 (3114000000)","312,230","312,230","22,036","28,781","42,449","40,586","49,044","60,271","44,448","17,622","6,268","715","10"
"울산광역시 동구 (3117000000)","152,971","152,971","13,027","15,659","16,480","20,582","26,308","24,538","23,914","9,314","2,776","365","8"
"울산광역시 북구 (3120000000)","218,738","218,738","23,340","23,983","25,562","32,237","39,374","38,972","23,248","8,179","3,353","475","15"
"울산광역시 울주군 (3171000000)","221,757","221,757","15,903","21,824","25,585","24,361","35,616","42,759","32,966","14,649","6,973","1,104","17"
"세종특별자치시  (3600000000)","379,340","379,340","46,966","47,215","39,042","61,610","75,024","50,503","34,499","15,279","7,817","1,355","30"
"세종특별자치시  (3611000000)","379,340","379,340","46,966","47,215","39,042","61,610","75,024","50,503","34,499","15,279","7,817","1,355","30"
"경기도  (4100000000)","13,581,496","13,581,496","1,074,872","1,320,974","1,774,747","1,887,128","2,294,308","2,289,392","1,699,941","793,215","388,164","56,898","1,857"
"북부출장소  (4110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 수원시 (4111000000)","1,185,041","1,185,041","88,902","114,668","182,743","177,310","198,670","198,564","133,819","58,454","27,646","4,124","141"
"경기도 수원시 장안구 (4111100000)","272,963","272,963","16,912","27,556","42,993","33,021","43,530","49,336","33,945","16,098","8,203","1,328","41"
"경기도 수원시 권선구 (4111300000)","369,217","369,217","29,665","32,810","52,737","57,431","61,364","62,609","44,661","18,370","8,290","1,234","46"
"경기도 수원시 팔달구 (4111500000)","181,280","181,280","9,828","13,310","30,037","27,000","27,060","30,838","24,671","12,195","5,610","703","28"
"경기도 수원시 영통구 (4111700000)","361,581","361,581","32,497","40,992","56,976","59,858","66,716","55,781","30,542","11,791","5,543","859","26"
"경기도 성남시 (4113000000)","927,340","927,340","64,427","84,777","124,778","134,064","151,987","155,282","121,498","58,875","27,227","4,271","154"
"경기도 성남시 수정구 (4113100000)","234,748","234,748","14,667","16,635","32,984","34,557","35,904","39,847","34,970","17,280","6,974","898","32"
"경기도 성남시 중원구 (4113300000)","208,356","208,356","11,741","15,299","28,931","30,320","30,920","36,354","32,177","15,426","6,323","832","33"
"경기도 성남시 분당구 (4113500000)","484,236","484,236","38,019","52,843","62,863","69,187","85,163","79,081","54,351","26,169","13,930","2,541","89"
"경기도 의정부시 (4115000000)","464,397","464,397","32,159","41,448","63,533","59,991","73,175","81,764","62,768","31,779","15,714","2,008","58"
"경기도 안양시 (4117000000)","549,917","549,917","37,651","50,447","73,701","78,643","85,593","96,130","76,960","33,042","15,309","2,379","62"
"경기도 안양시 만안구 (4117100000)","235,229","235,229","14,225","17,699","32,446","32,677","33,549","42,116","36,803","16,970","7,624","1,091","29"
"경기도 안양시 동안구 (4117300000)","314,688","314,688","23,426","32,748","41,255","45,966","52,044","54,014","40,157","16,072","7,685","1,288","33"
"경기도 부천시 (4119000000)","800,174","800,174","51,326","67,014","108,918","110,779","124,109","143,708","120,280","49,012","21,610","3,294","124"
"경기도 광명시 (4121000000)","290,726","290,726","21,168","29,191","35,948","39,215","49,267","49,013","39,549","18,072","8,110","1,156","37"
"경기도 평택시 (4122000000)","570,868","570,868","49,705","54,522","77,854","87,430","98,664","93,119","62,514","29,445","15,484","2,060","71"
"경기도 송탄출장소 (4122200000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 안중출장소 (4122400000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 동두천시 (4125000000)","93,189","93,189","5,614","8,368","10,823","9,818","13,626","16,518","14,364","8,499","4,921","618","20"
"경기도 안산시 (4127000000)","649,776","649,776","40,372","60,439","103,382","84,875","102,165","127,604","81,765","30,883","15,826","2,389","76"
"경기도 안산시 상록구 (4127100000)","349,083","349,083","20,995","32,837","56,873","43,726","54,417","69,060","43,522","17,135","9,087","1,384","47"
"경기도 안산시 단원구 (4127300000)","300,693","300,693","19,377","27,602","46,509","41,149","47,748","58,544","38,243","13,748","6,739","1,005","29"
"경기도 고양시 (4128000000)","1,078,975","1,078,975","76,359","101,172","144,461","142,905","175,483","197,833","136,440","62,215","36,569","5,381","157"
"경기도 고양시 덕양구 (4128100000)","484,928","484,928","36,485","41,112","61,494","69,630","78,075","84,358","63,779","30,865","16,744","2,314","72"
"경기도 고양시 일산동구 (4128500000)","299,123","299,123","19,683","28,387","42,804","38,344","49,110","56,837","37,155","15,597","9,629","1,537","40"
"경기도 고양시 일산서구 (4128700000)","294,924","294,924","20,191","31,673","40,163","34,931","48,298","56,638","35,506","15,753","10,196","1,530","45"
"경기도 과천시 (4129000000)","78,414","78,414","7,264","7,449","10,114","11,691","11,880","13,200","9,868","4,276","2,223","435","14"
"경기도 구리시 (4131000000)","190,647","190,647","13,434","17,130","25,241","24,660","31,071","34,738","26,408","11,898","5,361","690","16"
"경기도 남양주시 (4136000000)","735,547","735,547","61,699","78,533","85,551","89,298","132,490","123,756","92,376","47,263","21,450","3,011","120"
"경기도 풍양출장소 (4136200000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 오산시 (4137000000)","230,011","230,011","20,937","25,063","30,569","36,609","44,307","34,481","22,546","10,304","4,583","596","16"
"경기도 시흥시 (4139000000)","513,653","513,653","46,687","50,617","68,439","76,915","92,981","90,441","55,208","20,698","10,085","1,521","61"
"경기도 군포시 (4141000000)","267,659","267,659","18,050","25,009","36,179","37,144","42,099","47,325","36,807","15,451","8,232","1,313","50"
"경기도 의왕시 (4143000000)","161,696","161,696","12,287","13,873","21,924","22,565","23,727","29,023","23,553","9,383","4,576","761","24"
"경기도 하남시 (4145000000)","323,675","323,675","32,679","29,355","37,802","52,958","58,922","46,370","39,531","18,124","6,757","1,131","46"
"경기도 용인시 (4146000000)","1,076,530","1,076,530","91,713","120,959","136,332","138,313","196,097","174,202","115,125","67,196","31,871","4,570","152"
"경기도 용인시 처인구 (4146100000)","261,276","261,276","19,442","25,619","34,159","33,043","43,482","44,357","34,893","16,770","8,212","1,266","33"
"경기도 용인시 기흥구 (4146300000)","439,990","439,990","38,043","50,354","56,553","55,740","81,581","71,262","44,666","26,930","12,953","1,837","71"
"경기도 용인시 수지구 (4146500000)","375,264","375,264","34,228","44,986","45,620","49,530","71,034","58,583","35,566","23,496","10,706","1,467","48"
"경기도 파주시 (4148000000)","486,872","486,872","42,618","50,649","59,311","68,219","83,472","78,444","56,424","29,310","16,003","2,349","73"
"경기도 이천시 (4150000000)","222,948","222,948","17,409","22,009","30,827","30,595","35,110","35,827","29,153","13,626","7,334","1,034","24"
"경기도 안성시 (4155000000)","189,969","189,969","12,782","18,017","22,941","22,512","30,127","32,132","27,926","14,282","8,041","1,171","38"
"경기도 김포시 (4157000000)","485,453","485,453","51,901","50,619","51,333","72,675","93,114","70,010","54,614","27,430","11,974","1,733","50"
"경기도 화성시 (4159000000)","894,587","894,587","98,950","102,787","109,472","149,669","174,236","125,631","80,557","34,635","16,213","2,379","58"
"경기도 화성시동부출장소 (4159200000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 화성시동탄출장소 (4159400000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 광주시 (4161000000)","389,483","389,483","32,664","34,489","44,332","54,988","68,445","66,198","53,537","23,701","9,716","1,366","47"
"경기도 양주시 (4163000000)","236,120","236,120","19,075","24,229","27,370","27,593","39,625","39,902","32,037","16,806","8,279","1,171","33"
"경기도 포천시 (4165000000)","148,326","148,326","7,898","11,483","17,758","14,613","19,271","29,095","27,479","12,484","7,182","1,026","37"
"경기도 여주시 (4167000000)","112,558","112,558","6,757","9,428","11,687","11,022","15,805","20,033","20,404","10,576","5,893","922","31"
"경기도 연천군 (4180000000)","42,675","42,675","2,460","2,978","4,988","4,072","4,710","6,938","8,139","4,875","3,086","414","15"
"경기도 가평군 (4182000000)","62,224","62,224","3,014","4,498","5,996","5,420","7,697","11,055","13,136","6,922","3,918","545","23"
"경기도 양평군 (4183000000)","122,046","122,046","6,911","9,754","10,440","10,567","16,383","21,056","25,156","13,699","6,971","1,080","29"
"강원도  (4200000000)","1,539,005","1,539,005","99,035","132,684","173,167","161,334","218,472","264,357","262,354","136,457","78,980","11,816","349"
"동해출장소  (4210500000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 춘천시 (4211000000)","285,738","285,738","20,548","26,328","37,531","34,262","41,914","46,955","42,179","21,005","12,994","1,960","62"
"강원도 원주시 (4213000000)","359,229","359,229","27,019","35,131","44,479","45,469","56,873","61,600","50,656","22,556","13,387","2,002","57"
"강원도 강릉시 (4215000000)","212,414","212,414","12,587","18,109","24,243","20,935","31,525","36,572","35,867","20,011","10,776","1,737","52"
"강원도 동해시 (4217000000)","89,618","89,618","6,089","8,397","9,093","8,492","14,105","15,681","14,840","8,107","4,208","593","13"
"강원도 태백시 (4219000000)","40,163","40,163","2,163","3,568","3,323","3,089","5,969","6,974","7,694","4,857","2,286","235","5"
"강원도 속초시 (4221000000)","82,725","82,725","5,547","7,053","8,775","9,040","12,125","15,103","14,032","6,897","3,533","610","10"
"강원도 삼척시 (4223000000)","64,216","64,216","3,525","5,316","6,848","5,202","8,532","10,927","11,925","7,088","4,170","668","15"
"강원도 홍천군 (4272000000)","67,915","67,915","3,433","4,801","6,236","5,596","7,814","11,944","15,198","7,436","4,759","677","21"
"강원도 횡성군 (4273000000)","46,560","46,560","2,054","3,468","3,515","3,200","4,896","8,423","11,155","5,770","3,524","531","24"
"강원도 영월군 (4275000000)","37,963","37,963","1,525","2,759","3,079","2,523","4,304","7,038","8,566","4,832","2,943","380","14"
"강원도 평창군 (4276000000)","41,149","41,149","1,688","2,709","3,208","2,774","4,992","7,744","9,605","5,098","2,917","400","14"
"강원도 정선군 (4277000000)","35,382","35,382","1,529","2,360","2,534","2,638","4,553","6,637","7,939","4,429","2,414","339","10"
"강원도 철원군 (4278000000)","42,829","42,829","3,050","3,476","5,056","4,461","5,357","6,866","7,287","4,418","2,480","367","11"
"강원도 화천군 (4279000000)","24,029","24,029","1,655","1,687","3,445","2,727","2,609","3,728","4,219","2,200","1,532","216","11"
"강원도 양구군 (4280000000)","21,635","21,635","1,591","1,945","2,769","2,426","2,416","3,356","3,697","1,967","1,285","177","6"
"강원도 인제군 (4281000000)","32,173","32,173","2,452","2,251","4,125","3,931","3,984","5,063","5,756","2,712","1,635","258","6"
"강원도 고성군 (4282000000)","27,384","27,384","1,364","1,583","2,654","2,377","3,057","4,815","5,751","3,395","2,051","329","8"
"강원도 양양군 (4283000000)","27,883","27,883","1,216","1,743","2,254","2,192","3,447","4,931","5,988","3,679","2,086","337","10"
"충청북도  (4300000000)","1,597,033","1,597,033","113,683","145,903","192,050","188,750","237,118","270,074","244,950","122,820","71,535","9,849","301"
"충청북도 청주시 (4311000000)","848,727","848,727","69,188","84,496","117,369","117,128","136,160","137,983","107,575","49,121","25,976","3,626","105"
"충청북도 청주시 상당구 (4311100000)","194,117","194,117","15,735","19,550","23,917","23,389","30,553","33,307","26,860","12,735","7,053","987","31"
"충청북도 청주시 서원구 (4311200000)","192,674","192,674","12,276","19,257","27,953","22,302","29,322","33,763","27,409","12,800","6,665","904","23"
"충청북도 청주시 흥덕구 (4311300000)","267,488","267,488","22,930","26,170","39,897","41,138","43,445","43,055","30,732","12,874","6,322","902","23"
"충청북도 청주시 청원구 (4311400000)","194,448","194,448","18,247","19,519","25,602","30,299","32,840","27,858","22,574","10,712","5,936","833","28"
"충청북도 충주시 (4313000000)","208,744","208,744","13,442","18,187","23,087","22,524","30,080","36,739","34,689","17,700","10,821","1,436","39"
"충청북도 제천시 (4315000000)","132,131","132,131","7,864","11,746","14,540","12,097","17,452","23,328","24,433","12,757","7,010","866","38"
"충청북도 보은군 (4372000000)","31,807","31,807","1,303","1,976","2,193","1,992","3,091","5,530","7,471","4,430","3,276","532","13"
"충청북도 옥천군 (4373000000)","49,919","49,919","2,271","3,732","4,004","3,549","6,011","8,682","10,605","6,378","4,053","615","19"
"충청북도 영동군 (4374000000)","45,457","45,457","1,950","3,131","3,694","2,883","4,847","8,028","9,886","6,334","4,144","542","18"
"충청북도 증평군 (4374500000)","37,003","37,003","2,911","3,363","4,441","4,410","5,590","6,153","5,498","2,812","1,622","199","4"
"충청북도 진천군 (4375000000)","85,671","85,671","7,249","8,390","9,226","11,259","13,985","13,955","11,656","5,645","3,784","507","15"
"충청북도 괴산군 (4376000000)","37,323","37,323","1,227","1,859","2,506","2,164","3,620","7,017","9,483","5,394","3,532","505","16"
"충청북도 음성군 (4377000000)","92,186","92,186","5,244","7,244","9,026","8,974","13,313","17,409","16,784","8,387","5,043","739","23"
"충청북도 단양군 (4380000000)","28,065","28,065","1,034","1,779","1,964","1,770","2,969","5,250","6,870","3,862","2,274","282","11"
"충청남도  (4400000000)","2,119,661","2,119,661","157,990","200,759","235,052","255,699","326,698","341,035","304,788","173,809","107,026","16,353","452"
"충청남도 천안시 (4413000000)","657,241","657,241","56,508","67,479","94,037","100,551","111,916","104,669","71,547","31,645","16,365","2,457","67"
"충청남도 천안시 동남구 (4413100000)","255,332","255,332","18,178","25,490","34,342","31,268","41,700","43,533","34,689","16,213","8,574","1,311","34"
"충청남도 천안시 서북구 (4413300000)","401,909","401,909","38,330","41,989","59,695","69,283","70,216","61,136","36,858","15,432","7,791","1,146","33"
"충청남도 공주시 (4415000000)","103,090","103,090","5,075","8,075","10,920","8,755","12,692","17,579","19,746","11,480","7,529","1,206","33"
"충청남도 보령시 (4418000000)","97,842","97,842","5,407","7,893","8,873","8,594","13,222","16,478","18,106","11,480","6,741","1,023","25"
"충청남도 아산시 (4420000000)","329,684","329,684","31,464","36,257","37,527","48,505","59,909","49,302","35,971","18,684","10,498","1,522","45"
"충청남도 서산시 (4421000000)","176,407","176,407","14,346","16,981","18,642","21,149","27,803","28,809","24,299","14,140","8,745","1,448","45"
"충청남도 논산시 (4423000000)","113,659","113,659","6,468","9,206","10,580","10,014","14,405","19,151","21,075","12,844","8,536","1,346","34"
"충청남도 계룡시 (4425000000)","43,509","43,509","3,712","6,207","4,733","4,727","8,267","7,259","5,025","2,213","1,170","193","3"
"충청남도 당진시 (4427000000)","166,928","166,928","14,069","15,892","15,426","21,106","27,308","26,757","23,046","13,446","8,584","1,252","42"
"충청남도 금산군 (4471000000)","50,245","50,245","2,185","4,118","3,596","3,236","5,856","8,810","10,504","6,827","4,473","625","15"
"충청남도 부여군 (4476000000)","63,171","63,171","2,521","4,369","4,798","3,988","6,644","10,137","13,640","9,284","6,677","1,082","31"
"충청남도 서천군 (4477000000)","50,439","50,439","2,078","3,253","3,482","3,088","5,321","8,132","10,612","8,015","5,502","937","19"
"충청남도 청양군 (4479000000)","30,507","30,507","1,117","2,078","2,430","1,922","2,916","4,999","6,615","4,453","3,438","529","10"
"충청남도 홍성군 (4480000000)","98,833","98,833","7,090","9,446","9,075","9,822","14,094","15,632","15,798","10,122","6,726","995","33"
"충청남도 예산군 (4481000000)","76,619","76,619","3,218","5,339","6,320","5,752","8,930","12,837","15,772","10,328","7,102","988","33"
"충청남도 태안군 (4482500000)","61,487","61,487","2,732","4,166","4,613","4,490","7,415","10,484","13,032","8,848","4,940","750","17"
"전라북도  (4500000000)","1,779,230","1,779,230","115,463","168,330","203,115","179,013","257,963","299,705","270,458","169,773","99,840","15,139","431"
"전라북도 전주시 (4511000000)","654,749","654,749","49,809","69,520","91,201","80,077","104,362","107,790","81,798","45,121","21,872","3,113","86"
"전라북도 전주시 완산구 (4511100000)","333,703","333,703","22,280","33,968","47,854","38,717","50,789","57,351","44,681","24,501","11,746","1,765","51"
"전라북도 전주시 덕진구 (4511300000)","321,046","321,046","27,529","35,552","43,347","41,360","53,573","50,439","37,117","20,620","10,126","1,348","35"
"전라북도 전주시효자출장소 (4511800000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"전라북도 군산시 (4513000000)","264,030","264,030","18,801","25,888","28,412","28,146","42,466","44,519","39,308","23,499","11,175","1,774","42"
"전라북도 익산시 (4514000000)","276,376","276,376","16,773","26,718","34,501","26,841","39,839","48,441","42,688","24,821","13,543","2,164","47"
"전라북도 익산시함열출장소 (4514500000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"전라북도 정읍시 (4518000000)","105,884","105,884","5,597","9,056","10,038","8,189","13,899","18,183","17,855","12,925","8,799","1,301","42"
